TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m), Decking(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
5.04PM,69,11,3,3,3,1/1.5M,850,3875,6831,0.57,56.52,113,10.5,360,115.8
5.36PM,30,7.5,3.2,2.8,3,NIL,225,1050,2016,0.52,35,35,2.75,315,101.4
5.07PM,33,4.5,3,3,2.5,NIL,148.5,469.46,1336.5,0.35,14.22,28.44,1.45,410,131.1
5.06PM,30,"6,7",3.5,2.8,3,NIL,214,659,1969.8,0.33,21.66,43.33,0.992,465,118.3
5.07PM,21,"6,7",3.8,3,2.5,NIL,140,525,1603.98,0.32,25,50,5.12,290,140.5
1.28PM,34,15,4.2,3.2,3,2/1.5M,510,2800,6854.4,0.41,82.45,82.45,9.09,310,125.1
1.31PM,30,5.5,3.2,2.8,3,NIL,171,700,1568,0.45,23.33,23.33,6.86,400,116
1.30PM,44,"5,6",3,2.5,3,NIL,262,875,1965,0.44,19.88,39.77,1.44,480,111.6
1.26PM,35,15,3,3,3,2/1.5M,550,2750,4725,0.57,78.57,157.14,0.579,465,83.4
1.23PM,28,10,3.5,3,3,1/1.5M,280,1275,2940,0.47,45.53,45.53,0.659,485,81.4
1.30PM,39,6,3,3,2.5,NIL,234,1025,1944,0.52,26.28,52.56,3.31,302,119.9
1.31PM,36,"7,7.5",3.2,2.8,3,NIL,267,1350,2392.32,0.56,37.5,37.5,6.86,400,116
1.32PM,105,5,3.2,2.5,3,1/1M,889,4333.3,7965,0.54,41.26,82.54,0.945,470,119.1
1.39PM,30,15,4,3,3,2/1.5,450,2500,5400,0.46,83.33,83.33,1.91,370,122
1.25PM,20,6.5,3.5,2.8,3,NIL,130,600,1274,0.47,30,60,12.2,280,119.6
1.30PM,61,8,4,3,3,NIL,488,2400,5856,0.41,39.34,78.68,2.29,400,121.5
1.29PM,40,"7,8",3,3,3.5,NIL,300,1250,2610,0.47,31.25,62.5,2.16,380,112
1.26PM,70,"4.5,7",4,2.8,2.5,NIL,420,2000,4704,0.42,28.57,57.14,0.881,470,124.3
1.38PM,30,15,4,3,3,2/1.5M,450,2500,5400,0.46,83.33,83.33,0.635,480,120
1.23PM,35,"4,6",3,3,2.5,NIL ,175,575,1575,0.36,16.42,32.84,0.627,480,112.7
1.37PM,25,"5,6,7,9",3.2,3,3,1/1M,224.18,1080,2152.12,0.51,43.22,86.44,0.889,390,110
1.21PM,27,10,3.2,2.8,3,1/1M,270,1375,2419.2,0.57,50.9,101.8,2.14,370,122
1.34PM,30,6.5,3.2,2.8,3,NIL,195,975,1747.2,0.56,32.5,64.6,1.52,300,119
1.24PM,25,"6.5,8",3.2,2.8,3,NIL,183.75,825,1646.4,0.51,33,33,0.889,490,118
1.15PM,21,11.5,3.5,3,3,1/1.5,236.25,1250,2535.75,0.49,58.38,116.76,2.67,385,97.4
1.31PM,75,15,3,3,3,2/1M,1125,5885,10125,0.58,78.47,156.94,2.94,430,115.9
1.48PM,28,8,3.2,3,3,NIL,224,1300,2150.4,0.6,46.43,92.86,0.532,330,99.5
1.35PM,16,"12,13",3.2,3,3,1/1M,209,975,206.4,0.49,60.94,121.88,1.83,383,119.1
1.30PM,33,"9,13",4,3,3,2/1M,510,2250,4212,0.53,68.18,136.36,4.34,430,125.3
1.48PM,24,7.5,3.2,3,3,NIL,180,925,1728,0.54,38.54,77.08,1.15,410,123.3
1.44PM,32,15,3.1,3.5,3,2/1M,480,3075,5208,0.59,96.1,192.2,0.611,391,93.3
1.16PM,39,8.5,3.5,3,3,NIL,331,1750,3480,0.5,44.87,89.74,1.09,490,116.9
1.13PM,24,6,3,3,3,NIL,144,600,1296,0.46,25,50,1.61,350,124.2
1.17PM,58,7,4,3,3,NIL,406,2075,4872,0.42,35.77,71.55,1.6,460,125.2
1.43PM,30,15,3.5,3.2,3,2/1M,450,2650,5040,0.53,88.33,176.66,1.64,385,99.4
1.45PM,43,7.5,3.2,3,3,NIL,322,1700,3096,0.59,42.5,42.5,1.47,340,112.9
1.00PM,32,15,4.2,3.2,3,2/1.5M,480,2800,6451,0.43,87.5,87.5,4.39,410,78.7
1.13PM,48,"4,7",3.5,3,3,NIL,264,1000,2772,0.36,20.83,41.66,2.88,410,93.6
1.12PM,33,7,3,3,3,NIL,231,900,2079,0.43,27.27,27.27,1.55,380,90.1
1.24PM,32,8,3,3,3.5,NIL,256,1325,2304,0.57,41.4,41.4,5.2,310,99.4
1.25PM,40,6.5,3.2,2.8,3,NIL,250,1050,2329,0.45,26.25,52.5,4.5,320,97.8
1.26PM,22,15,3.5,3.2,3,2/1M,330,2125,3696,0.57,96.59,193.18,4.29,370,118.1
1.28PM,77,"6,8",3.2,2.8,3,NIL,566,2150,5071,0.42,27.92,27.92,4.91,380,107.5
1.39PM,54,15,3.5,3.2,3,2/1M,810,4625,9072,0.5,85.64,85.64,1.17,540,127.3
1.43PM,28,6,3.2,2.8,3,NIL,168,800,1505,0.53,28.6,28.6,1.4,340,100
1.43PM,37,7.5,3.2,3,3,NIL,277,1250,2664,0.47,33.8,33.8,1.4,340,100
1.18PM,30,10,3.5,3,3.5,1/1.5M,300,1350,3150,0.42,45,45,2.75,365,119.8
1.35PM,114,8,3.5,3,3,NIL,912,3625,9576,0.37,31.79,63.58,1.31,480,125.3
1.45PM,40,4,4,3,2.5,NIL,400,550,1920,0.28,13.75,13.75,0.635,230,114
1.45PM,21,6,3,2.5,3,NIL,126,350,945,0.37,16.67,33.34,4.32,410,118
1.20PM,65,6,3.5,3,3,NIL,390,1675,4095,0.4,25.76,51.92,0.754,440,120.7
1.48PM,35,"3,6",3.2,2.8,3,NIL,182,550,1631,0.34,15.7,31.4,3.81,295,119
1.22PM,34,"3.5,6",3,3,2.5,NIL,170,400,1530,0.26,11.42,11.42,2.07,360,119.1
1.28PM,37,15,4,3,3,2/1.5M,555,2800,6660,0.42,75.67,75.67,3.68,390,114
1.29PM,24,15,4,3,3,2/1.5M,360,1725,4320,0.39,71.87,71.87,4.83,290,114
1.36PM,22,6,3.2,2.8,3,NIL,132,500,1183,0.42,22.72,45.26,1.65,405,119
1.30PM,38,6,3.2,2.8,3,NIL,228,1000,2043,0.49,26.32,26.23,2.03,310,117
1.35PM,39,6,3.2,2.8,3,NIL,234,800,2097,0.4,20.5,42,2.67,280,112
1.30PM,39,"12,15",3.5,3.2,3,2/1M,556,2625,6227.2,0.42,67.31,134.62,0.611,450,106.3
1.25PM,22,13,4,3,3,2/1M,299,1500,3432,0.43,68.18,136.36,1.21,420,124.5
1.28PM,24,7.5,3,3,3,NIL,180,505.56,1620,0.31,21.06,42.12,0.532,432,112.4
1.22PM,42,15,4.2,3.2,3,2/1M,630,3625,8467,0.42,86.3,172.6,3.41,410,122.7
1.22PM,53,15,4.2,3.2,3,2/1M,795,4500,10684,0.42,84.9,169.81,3.41,420,122.7
1.14PM,19,10,3,3,3,1/1.5,190,825,1710,0.48,43.42,43.42,1.44,390,125.7
1.20PM,61,8.5,4,3,3,NIL,518.5,3125,61222,0.5,51.22,102.4,1.61,420,124.4
1.13PM,31,5.5,4,3,2.5,NIL,170,775,2046,0.37,25,50,1.4,390,117
1.14PM,14,4,3,2.5,2.5,NIL,56,100,420,0.24,7.14,7.14,0.889,330,100
1.12PM,20,"5,5.5",3,2.8,3,NIL,108,425,907.2,0.47,21.25,21.25,2.79,320,110
1.16PM,20,15,3.5,3.2,3,2/1M,300,1950,3360,0.58,97.5,97.5,1.55,480,129.8
1.23PM,24,5,3,3,3,NIL,120,400,1080,0.37,16.66,16.66,0.643,380,87.1
1.22PM,12,"3,4",3,3,2.5,NIL,42,100,378,0.26,8.33,8.33,1.91,340,110.5
1.21PM,27,9,3,3,3,1/1M,243,1000,2187,0.45,37.03,37.03,2.73,350,123
1.20PM,37,15,4.2,3.2,3,2/1M,555,3250,7500,0.43,87.83,175.67,0.88,340,117
1.27PM,40,15,3.5,3.2,3,2/1.5M,600,3300,6720,0.49,82.5,82.5,2.63,410,118.1
1.25PM,32,7,3.2,2.8,3,1/1M,240,1000,2150,0.47,31.25,31.25,0.754,390,87.7
1.26PM,50,"5,6",3.2,2.8,3,NIL,275,1350,2464,0.55,27,27,1.96,350,114.7
5.16PM,100,"3,5.5",3.5,2.8,2.8,NIL,485,1750,4704,0.37,17.5,35,9.33,80,118.9
1.30PM,34,4,3.3,2.6,2.5,NIL,136,425,1166.8,0.36,12.5,12.5,2.52,110,119
1.32PM,33,4,3.3,2.6,2.5,NIL,132,425,1132.5,0.37,12.8,12.8,4.06,110,124.7
1.25PM,35,5,3,3,3,NIL,175,700,1575,0.44,20,40,6.07,80,123.6
1.12PM,30,"4,5",3,3,2.8,NIL,150,500,1350,0.37,16.66,33.32,1.5,290,121.8
1.19PM,20,10,3,3,3,1/1.5M,200,850,1800,0.47,42.5,42.5,1.2,340,117.1
1.24PM,61,6,3.2,2.8,3,NIL,366,1525,3279.6,0.47,25,50,0.754,390,110.6
1.22PM,36,6,3.2,2.8,3,NIL,216,875,193.36,0.45,24.31,48.62,1.56,290,120
1.26PM,29,15,3.5,3,3,2/1.2M,435,2300,4567.5,0.5,79.31,158.63,3.41,310,124
1.45PM,73,"5,6",4,3,2.5,NIL,423,2025,5080,0.39,27.73,55.47,0.849,490,120.2
1.12PM,61,"6,7",3,3,3,NIL,405,2000,3645,0.54,32.78,65.57,2.71,390,90.1
1.24PM,36,"3.5,5.5",3.3,2.6,2.8,NIL,162,450,1390,0.32,12.5,12.5,1.32,410,119
1.15PM,36,15,3.5,3.2,3,2/1.5,540,3000,6048,0.49,83.33,83.33,9.42,330,118.4
1.46PM,34,"5,5.5",4,3,2.8,NIL,180.2,700,2162.4,0.32,20.58,41.17,0.579,420,133.1
1.30PM,53,"9,11",3,2.8,3,1/1.5M,480.5,2275,4032,0.56,42.92,85.84,0.849,390,138.5
1.21PM,35,"4.5,5",3,3,2.8,NIL,175,575,1575,0.36,16.42,16.42,1.18,280,129.6
1.15PM,27,7,3,3,3,NIL,189,1000,1701,0.58,37.03,37.03,1.94,340,123.7
1.36PM,22,15,4,3,3,2/1M,327,1750,3960,0.44,79.54,159,2.16,360,121
1.47PM,22,15,3.5,3.2,3,2/1.5,330,1800,3696,0.49,81.82,163.64,0.762,380,110
1.40PM,42,"6,7",3.2,2.8,3,NIL,261,1150,2338,0.49,27.38,54.76,4.83,391,123
1.48PM,30,"5,6",3.2,2.8,3,NIL,180,675,1612.8,0.42,22.5,45,1.91,395,117
1.33PM,28,10,4,3,3,2/1M,280,1325,3360,0.39,47.32,94.64,2.92,370,112
1.10PM,26,7,3,3,3,NIL,182,875,1638,0.53,33.65,67.3,1.2,380,123
1.13PM,30,"3,4.5",3,3,2.5,NIL,120,400,1080,0.37,13.33,26.66,0.91,280,119.8
1.20PM,32,"6,7",3.2,2.8,3,NIL,205,875,1843,0.48,27,54,NA,NA,NA
1.18PM,31,4,3.2,2.8,2.5,NIL,124,425,1111.04,0.4,13.71,27.42,1.27,230,114
1.29PM,26,15,3.5,3.2,3,2/1.5M,390,2300,4368,0.53,88.46,176.92,1.52,320,121
1.18PM,36,"7,9",3.2,2.8,3,1/1M,316,1550,2831.4,0.55,43.06,86.12,1.14,390,100
1.24PM,22,"11,11.5",3.8,3,3,1/1.5M,248.81,1450,2843,0.51,65.9,131.81,1.4,360,122
1.23PM,40,"6,7",3.2,2.8,3,NIL,280,1425,2508.8,0.57,35.62,71.24,1.78,370,110
1.36PM,41,15,3.5,3.2,3,2/1.5M,615,3550,6888,0.52,86.59,86.59,1.65,410,123
1.16PM,24,7,3,3,3,NIL,168,800,1512,0.52,33.36,33.36,1.39,380,124.1
1.15PM,30,7,3,3,3,NIL,210,1000,1890,0.52,33.36,33.36,2.8,340,117
1.10PM,19,12,3.5,3,3,2/1M,216,1125,2268,0.49,59.21,118.4,1.02,380,116
1.32PM,67,"4,5.5",3,3,2.5,NIL,335,783,3015,0.25,11.68,23.37,0.759,230,112.8
1.34PM,24,5,3,3,2.5,NIL,120,525,1440,0.36,21.8,21.8,NA,NA,NA
1.21PM,33,6,3.2,2.8,3,NIL,198,750,1774,0.42,22.73,45.56,2.92,310,112
1.23PM,26,15,3.5,3.2,3,2/1.5M,390,2000,4368,0.46,76.92,153.84,1.91,370,123
1.21PM,30,15,4,3,3,2/1M,450,2350,5400,0.43,78.33,156.66,3.5,280,119
1.14PM,38,15,4,3,3,2/1M,570,3375,6840,0.49,88.81,177.63,0.889,380,100
1.07PM,31,4.5,3,3,2.5,NIL,142,550,1278,0.43,17.74,35.48,2.9,380,110
